시설명,종류,주소,도로명,지번주소,위도,경도,법정동
길음초등학교,학교,서울특별시 성북구 길음로 142 (길음동),서울특별시 성북구 길음로 142 (길음동),서울특별시 성북구 길음동 635-7 서울길음초등학교,37.61403223,127.0173645,서울특별시 성북구 길음동
서울길원초등학교 특수학급 실내놀이터,학교,서울특별시 성북구 서경로8길 28-15 (길음동),서울특별시 성북구 서경로8길 28-15 (길음동),서울특별시 성북구 길음동 1280-4 서울길원초등학교,37.60919816,127.0166884,서울특별시 성북구 길음동
서울길원초등학교 놀이시설,학교,서울특별시 성북구 서경로8길 28-15 (길음동),서울특별시 성북구 서경로8길 28-15 (길음동),서울특별시 성북구 길음동 1280-4 서울길원초등학교,37.60919816,127.0166884,서울특별시 성북구 길음동
성신초등학교 놀이터,학교,서울특별시 성북구 북악산로 918 (돈암동),서울특별시 성북구 북악산로 918 (돈암동),"서울특별시 성북구 돈암동 산11-269 성신초등학교,성신여자중학교",37.59420861,127.0233032,서울특별시 성북구 돈암동
매원초등학교,학교,서울특별시 성북구 북악산로 870 (돈암동),서울특별시 성북구 북악산로 870 (돈암동),"서울특별시 성북구 돈암동 45-88 매원초,고명중,고명경영고",37.59792643,127.0199253,서울특별시 성북구 돈암동
우촌초등학교 놀이터,학교,서울특별시 성북구 성북로4길 52-1 (돈암동),서울특별시 성북구 성북로4길 52-1 (돈암동),서울특별시 성북구 돈암동 609 우촌초등학교,37.59569675,127.0117473,서울특별시 성북구 돈암동
서울돈암초등학교놀이터,학교,서울특별시 성북구 동소문로13길 38 (동소문동6가),서울특별시 성북구 동소문로13길 38 (동소문동6가),서울특별시 성북구 동소문동6가 27-1 서울돈암초등학교,37.5933191,127.0129647,서울특별시 성북구 동소문동6가
서울정덕초등학교 놀이터,학교,서울특별시 성북구 아리랑로 63 (동소문동7가),서울특별시 성북구 아리랑로 63 (동소문동7가),서울특별시 성북구 동소문동7가 118-1 서울정덕초등학교,37.59770877,127.0135931,서울특별시 성북구 동소문동7가
서울동신초등학교 운동장놀이터,학교,서울특별시 성북구 보문사길 50 (보문동3가),서울특별시 성북구 보문사길 50 (보문동3가),서울특별시 성북구 보문동3가 228 서울동신초등학교,37.58258162,127.0169353,서울특별시 성북구 보문동3가
대광초등학교 놀이터,학교,서울특별시 성북구 안암로 5,서울특별시 성북구 안암로 5 (보문동7가),서울특별시 성북구 보문동7가 111 대광초등학교,37.57915291,127.023628,서울특별시 성북구 보문동7가
서울삼선초등학교 놀이터,학교,서울특별시 성북구 보문로29길 106 (삼선동3가),서울특별시 성북구 보문로29길 106 (삼선동3가),서울특별시 성북구 삼선동3가 30-4 서울삼선초등학교,37.58646352,127.012583,서울특별시 성북구 삼선동3가
